transaction_id,customer_id,product_id,product_name,transaction_date,experiment_condition,referring_channel,region_code,referral_discount,avg_income,churn_rate,brand_affinity_score,price_sensitivity,quality_orientation,aesthetic_importance,retail_price,cogs,review_star,review_text
T0002651,C00731,PRO_X,Aura Pro X,2022-01-01,Control,Direct,W,0,83195,0.23,4,Low,High,Med,1400,560,,
T0000065,C00020,GO_AIR,Aura Go Air,2022-01-01,Influencer,Search,EU,0,53761,0.18,3,High,Med,High,180,126,,
T0001818,C00495,GO_AIR,Aura Go Air,2022-01-01,Influencer,Social,W,0,52803,0.16,3,High,Med,Med,180,126,3.26,Very comfy with great battery life; sound is fine for commuting.
T0001818,C00495,GO_PLUS,Aura Go Plus,2022-01-01,Influencer,Social,W,0,52803,0.16,3,High,Med,Med,260,174.2,3.93,Very comfy with great battery life; sound is fine for commuting.
T0004453,C01204,GO_AIR,Aura Go Air,2022-01-01,Influencer,Affiliate,NE,0,46288,0.17,3,High,Med,Med,180,126,,
T0003222,C00876,PRO_CLASSIC,Aura Pro Classic,2022-01-02,Professional,Search,SE,0,77470,0.21,5,Low,High,Med,1200,480,,
T0002847,C00778,GO_ACTIVE,Aura Go Active,2022-01-02,Influencer,Search,MW,0,51715,0.19,3,High,Med,Med,280,193.2,3.82,Solid value for money; looks sleek and gets the job done.
T0001045,C00286,PRO_X,Aura Pro X,2022-01-02,Professional,ReviewSite,EU,0,85370,0.22,4,Low,High,Med,1400,560,4.32,"Build quality is superb, comfort is solid for long sessions, imaging is precise."
T0002270,C00611,PRO_CLASSIC,Aura Pro Classic,2022-01-02,Control,ReviewSite,NE,0,85872,0.22,4,Low,High,Med,1200,480,5,Impressive instrument separation and neutral tuning—reference-level clarity.
T0000047,C00013,PRO_STUDIO,Aura Pro Studio,2022-01-02,Influencer,Affiliate,EU,0,72301,0.07,4,Med,Med,High,1500,600,4.72,Finally understand what ‘resolution’ means—phenomenal upgrade.
T0003052,C00826,GO_LITE,Aura Go Lite,2022-01-02,Influencer,Direct,EU,0,64878,0.08,4,Med,Med,High,220,149.6,,
T0001270,C00347,GO_AIR,Aura Go Air,2022-01-03,Influencer,Affiliate,NE,0,47508,0.19,3,High,Med,Med,180,126,3.98,Solid value for money; looks sleek and gets the job done.
T0003513,C00963,PRO_X,Aura Pro X,2022-01-03,Control,Email,SW,0,77812,0.21,4,Low,High,Med,1400,560,,
T0001432,C00394,GO_AIR,Aura Go Air,2022-01-03,Influencer,Search,SE,0,48608,0.18,3,High,Med,Med,180,126,,
